Transportation Service Provider Name:,,,,ANR Pipeline Company,,,,,,,,,,,,,,,
Transportation Service Provider:,,,,6958581,,,,,,,,,,,,,,,
Transporation Service Provider FERC CID:,,,,C000623,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Location Name,Loc,Loc St Abbrev,Loc Cnty,Loc Zone,Loc Type Ind,Dir Flo,Loc Stat Ind,Eff Date,,Inact Date,Up/Dn Ind,Up/Dn Name,Up/Dn ID,Up/Dn ID Prop,Up/Dn Loc Name,Up/Dn Loc,Up/Dn FERC CID IND,Up/Dn FERC CID,Update Date/Time
ABBOTSFORD/EDGAR,28759,WI,Marathon,Zone 7,LDC,D,A,1/1/83,,,N,Wisconsin Gas LLC,7947047,,,,N,,20181211 10:16
ACADIA 2 INT DEL,523091,LA,Acadia,Zone 1,INT,R,A,6/1/09,,,Y,Kinder Morgan Louisiana,809611911,,ANR/KMLP Acadia,44395,Y,C000231,20190306 12:02
ACADIA 2 INT REC,767091,LA,Acadia,Zone 1,INT,R,A,6/1/09,,,Y,Kinder Morgan Louisiana,809611911,,ANR/KMLP Acadia,44395,Y,C000231,20190221 8:16
ACADIA POWER PLANT,322045,LA,Acadia,Zone 1,END,D,A,2/25/09,,,N,Cleco Power,6948178,,,,N,,20100816 10:02
ADAMS WI,28865,WI,Waushara,Zone 7,LDC,D,A,1/1/83,,,N,Wisconsin Gas LLC,7947047,,,,N,,20190311 14:32
ADRIAN/WESTSIDE PL CO,150409,MI,Lenawee,Zone 7,INT,D,A,6/1/93,,,N,Westside Pipeline Company,874457641,,,,N,,20160414 05:08
ALBANY,12977,MO,Gentry,Zone 6,LDC,D,A,1/1/83,,,N,Albany City Of,46334660,,,,N,,20180812 5:08
ALCAN ALUMINUM INT,40462,KY,Webster,Zone 3,END,D,A,9/27/13,,,N,Alcan Ingot DBA,130402258,,,,N,,20180812 5:07
ALDEN/WILLIAMS NAT GAS,5751,KS,Rice,Zone 5,INT,R,A,8/17/84,,,Y,"Southern Star Cenral Gas Pipeline, Inc",7906233,,ANR Alden,35515,Y,C000374,20160718 13:46
ALEDO/CITY OF ALEDO,3973,IL,Mercer,Zone 6,LDC,D,A,1/1/83,,,N,Aledo/City of Ale,95787032,,,,N,,20170607 12:46
ALLEN PLANT,505606,TN,Shelby,Zone 2,LDC,D,A,10/23/17,,,N,Tenn Valley Authority,1883032,,,,N,,20171023 16:20
ALLERTON,4857,IA,Wayne,Zone 6,LDC,D,A,1/1/83,,,N,Allerton Gas Company,22005821,,,,N,,20160718 13:32
ALLIANCE/ANR INT,277072,IL,Will,Zone 7,INT,R,A,4/28/00,,,Y,Alliance Pipeline LTD,253846620,,Alliance/ANR,IL05,Y,C000118,20180423 15:16
ALPENA DEL/MICH CON GAS,40832,MI,Clare,Zone 7,INT,D,A,1/1/83,,,N,DTE Gas Company,6958540,,,,N,,20180720 12:46
ALPENA REC/MICH CON GAS,3026,MI,Clare,Zone 7,LDC,R,A,4/11/88,,,N,DTE Gas Company,6958540,,,,N,,20180720 12:46
ALTA VISTA/CITY OF AV,5227,KS,Geary,Zone 5,LDC,D,A,1/1/83,,,N,Kansas Gas SVCS (One Gas),504804202,,,,N,,20180812 5:08
AMHERST/WISC PWR & LIGHT,28796,WI,Portage,Zone 7,LDC,D,A,1/1/83,,,N,Wisconsin Power & Lght,7946452,,,,N,,20160408 09:01
ANDOVER,3796,IL,Mercer,Zone 6,LDC,D,A,1/1/83,,,N,Ameren Illinois Company,6936017,,,,N,,20170607 12:46
ANGELICA INT,266892,WI,Shawano,Zone 7,LDC,D,A,10/15/99,,,N,Wisconsin Gas LLC,7947047,,,,N,,20150707 12:02
ANGOLA,40185,IN,De Kalb,Zone 7,LDC,D,A,1/1/83,,,N,NIPSCO,6937585,,,,N,,20190321 13:16
ANR JOLIET HUB,243097,IL,Will,Zone 7,PPT,B,A,5/1/98,,,N,ANR Pipeline Company,6958581,,,,Y,C000623,20020913 07:18
ANR/GPM INT-LAVERNE,217541,OK,Harper,Zone 4,INT,D,A,12/7/99,,,N,DCP Midstream,3048753,,,,N,,20020913 7:18
ANRPL STORAGE FACILITIES,153808,MI,Osceola,Zone 7,STR,B,A,1/1/90,,,N,ANR Pipeline Company,6958581,,,,Y,C000623,20110329 7:23
ANRSCO - RAPID RIVER,1260985,MI,Kalkaska,Zone 7,STA,B,A,12/1/12,,,N,ANR Pipeline Company,6958581,,,,Y,C000623,20121203 07:08
ANTIGO,28730,WI,Langlade,Zone 7,LDC,D,A,1/1/83,,,N,City Gas Co,3776457,,,,N,,20191211 10:16
ANTRIM PLANT,177238,MI,Otsego,Zone 7,PLT,R,A,4/1/13,,,N,DTE Gas Company,6959540,,,,N,,20141114 14:16
APPLETON,28870,WI,Winnebago,Zone 7,LDC,D,A,1/1/83,,,N,Wisconsin Electric Power,7947385,,,,N,,20190211 10:16
